country,week,cases_w,deaths_w,deaths_w_back2w,dcfr,ifr_low_w,ifr_med_w,ifr_high_w,det_frac_low,det_frac_med,det_frac_high,inf_death_low,inf_death_med,inf_death_high,inf_case_low,inf_case_med,inf_case_high
united kingdom,2021-04-04,26785.0,409.0,273.0,0.010192271793914505,0.009235465236792577,0.013002177966888996,0.018209768022979494,0.9061243090384219,1.0,1.0,29559.961842789773,20996.4823351299,14991.95375006933,29559.961842789773,20996.4823351299,14991.95375006933
united kingdom,2021-04-11,15599.0,322.0,212.0,0.01359061478299891,0.006204316199009067,0.00891449393416351,0.012643866384374996,0.4565147565487851,0.6559301456557386,0.930338074197479,34169.76072783975,23781.495793893653,16767.023120553124,34169.76072783975,23781.495793893653,16767.023120553127
united kingdom,2021-04-18,18451.0,273.0,140.0,0.007587664625223565,0.006204316199009067,0.00891449393416351,0.012643866384374996,0.8176845584851163,1.0,1.0,22564.936329705495,15704.761373325999,11072.56243810112,22564.936329705495,15704.761373325999,11072.56243810112
united kingdom,2021-04-25,17326.0,212.0,122.0,0.00704144060948863,0.006204316199009067,0.00891449393416351,0.012643866384374996,0.8811146103609105,1.0,1.0,19663.730230171932,13685.577768184085,9648.94726748812,19663.730230171932,13685.577768184085,9648.94726748812
united kingdom,2021-05-02,15445.0,140.0,104.0,0.006733570734865652,0.006204316199009067,0.00891449393416351,0.012643866384374996,0.9214006124393753,1.0,1.0,16762.52413063837,11666.39416304217,8225.332096875118,16762.52413063837,11666.394163042169,8225.332096875118
united kingdom,2021-05-09,14747.0,122.0,73.0,0.004950159354444972,0.006204316199009067,0.00891449393416351,0.012643866384374996,1.0,1.0,1.0,11766.002514775008,8188.911287519985,5773.550414152727,11766.002514775008,8188.911287519984,5773.550414152727
united kingdom,2021-05-16,16012.0,104.0,84.0,0.005246065450911816,0.006204316199009067,0.00891449393416351,0.012643866384374996,1.0,1.0,1.0,13538.961797823298,9422.856823995598,6643.537462860672,13538.961797823296,9422.856823995598,6643.537462860672
united kingdom,2021-05-23,14164.0,73.0,84.0,0.005930528099406947,0.004068957038073884,0.006117269279832071,0.009024163940140738,0.6861036605628392,1.0,1.0,20644.110816112952,13731.617190196004,9308.341532488821,20644.110816112952,13731.617190196004,9308.341532488823
united kingdom,2021-05-30,21544.0,84.0,92.0,0.0042703304864463425,0.004068957038073884,0.006117269279832071,0.009024163940140738,0.9528435916115625,1.0,1.0,22610.216608123712,15039.390255928956,10194.85024986871,22610.216608123716,15039.390255928958,10194.85024986871
united kingdom,2021-06-06,32866.0,84.0,119.0,0.0036207630986429744,0.004068957038073884,0.006117269279832071,0.009024163940140738,1.0,1.0,1.0,29245.823656160017,19453.12435277767,13186.81717102583,29245.823656160017,19453.12435277767,13186.81717102583
united kingdom,2021-06-13,48977.0,92.0,132.0,0.002695142617963534,0.004068957038073884,0.006117269279832071,0.009024163940140738,1.0,1.0,1.0,32440.7455681775,21578.25558459372,14627.39383676815,32440.7455681775,21578.25558459372,14627.393836768148
united kingdom,2021-06-20,64289.0,119.0,189.0,0.002939849741013237,0.0032512954250966913,0.004602445168876339,0.006684561832380797,1.0,1.0,1.0,58130.675711936965,41065.12800589068,28274.10453209692,58130.67571193696,41065.12800589067,28274.104532096917
united kingdom,2021-06-27,102606.0,132.0,278.0,0.0027093932128725417,0.0032512954250966913,0.004602445168876339,0.006684561832380797,1.0,1.0,1.0,85504.3801477168,60402.67505628364,41588.36539641769,85504.3801477168,60402.675056283646,41588.36539641769
united kingdom,2021-07-04,171579.0,189.0,396.0,0.002307974752154984,0.0032512954250966913,0.004602445168876339,0.006684561832380797,1.0,1.0,1.0,121797.60625358221,86041.22058377093,59240.980924393545,121797.60625358221,86041.22058377095,59240.98092439355
united kingdom,2021-07-11,219103.0,278.0,536.0,0.0024463380236692334,0.0032512954250966913,0.004602445168876339,0.006684561832380797,1.0,1.0,1.0,164857.36604020218,116459.83392146774,80184.76205928015,164857.36604020218,116459.83392146775,80184.76205928015
united kingdom,2021-07-18,316344.0,396.0,628.0,0.001985180689376122,0.0032512954250966913,0.004602445168876339,0.006684561832380797,1.0,1.0,1.0,193153.77961426674,136449.20840052562,93947.81823363421,193153.77961426674,136449.20840052562,93947.81823363421
united kingdom,2021-07-25,267837.0,536.0,669.0,0.00249778783364509,0.0032512954250966913,0.004602445168876339,0.006684561832380797,1.0,1.0,1.0,205764.13783749114,145357.5165922797,100081.35413742243,205764.13783749117,145357.5165922797,100081.35413742243
united kingdom,2021-08-01,184105.0,628.0,663.0,0.0036012058336275495,0.0032512954250966913,0.004602445168876339,0.006684561832380797,0.9028352100112012,1.0,1.0,203918.71956092172,144053.86173494984,99183.76351735587,203918.71956092175,144053.86173494984,99183.76351735587
united kingdom,2021-08-08,190499.0,669.0,793.0,0.004162751510506617,0.0032512954250966913,0.004602445168876339,0.006684561832380797,0.7810448009905354,1.0,1.0,243902.78221992598,172299.71697709686,118631.56028546486,243902.782219926,172299.71697709686,118631.56028546488
united kingdom,2021-08-15,199039.0,663.0,888.0,0.004461437205773743,0.0032512954250966913,0.004602445168876339,0.006684561832380797,0.7287551690493472,1.0,1.0,273121.90493227524,192940.9188848197,132843.4117698522,273121.9049322753,192940.9188848197,132843.41176985222
united kingdom,2021-08-22,226415.0,793.0,962.0,0.004248835103681293,0.0032512954250966913,0.004602445168876339,0.006684561832380797,0.7652204300137915,1.0,1.0,295882.06367663154,209019.328791888,143913.69608400654,295882.06367663154,209019.32879188797,143913.69608400654
united kingdom,2021-08-29,239333.0,888.0,1084.0,0.004529254219017018,0.0032512954250966913,0.004602445168876339,0.006684561832380797,0.7178434390910207,1.0,1.0,333405.5686335432,235526.9775575952,162164.70535869343,333405.5686335432,235526.97755759518,162164.70535869346
united kingdom,2021-09-05,247656.0,962.0,1090.0,0.004401266272571632,0.0032512954250966913,0.004602445168876339,0.006684561832380797,0.7387181833006845,1.0,1.0,335250.98691011267,236830.63241492506,163062.29597876003,335250.98691011267,236830.6324149251,163062.29597876003
united kingdom,2021-09-12,249209.0,1084.0,1011.0,0.004056835828561569,0.002872174185222366,0.0039264898261545545,0.005333918592031549,0.7079838343472606,0.9678700327261625,1.0,351998.15011279605,257481.88452334094,189541.7004508381,351998.15011279605,257481.88452334094,189541.70045083814
united kingdom,2021-09-19,205018.0,1090.0,907.0,0.004424001794964345,0.002872174185222366,0.0039264898261545545,0.005333918592031549,0.6492253661586759,0.8875425481571714,1.0,315788.64703492186,230995.12291065304,170043.8400681604,315788.64703492186,230995.12291065304,170043.8400681604
united kingdom,2021-09-26,235574.0,1011.0,870.0,0.003693107049165018,0.002872174185222366,0.0039264898261545545,0.005333918592031549,0.7777121396661766,1.0,1.0,302906.4199783705,221571.94810613908,163107.10127816928,302906.4199783704,221571.94810613908,163107.10127816928
united kingdom,2021-10-03,237451.0,907.0,1014.0,0.004270354725817116,0.002872174185222366,0.0039264898261545545,0.005333918592031549,0.6725844501530927,0.9194762679588019,1.0,353042.65500927315,258245.92572370693,190104.13873110767,353042.6550092732,258245.92572370693,190104.13873110767
united kingdom,2021-10-10,254799.0,870.0,1095.0,0.004297505092249185,0.002872174185222366,0.0039264898261545545,0.005333918592031549,0.6683352604753183,0.9136672887802322,1.0,381244.28721415595,278875.03813358885,205289.9722983855,381244.28721415595,278875.03813358885,205289.97229838552
united kingdom,2021-10-17,296121.0,1014.0,1256.0,0.00424150938298871,0.002872174185222366,0.0039264898261545545,0.005333918592031549,0.677158512661013,0.9257293740531154,1.0,437299.38332509575,319878.5825532307,235474.16000618463,437299.3833250957,319878.58255323063,235474.16000618463
united kingdom,2021-10-24,326034.0,1095.0,1216.0,0.003729672365458817,0.0023481294708264343,0.0033021323074184437,0.004450158427932954,0.6295806282001856,0.8853679315105797,1.0,517859.0086738375,368246.9043618213,273248.69882549724,517859.0086738376,368246.9043618213,273248.69882549724
united kingdom,2021-10-31,285744.0,1256.0,1086.0,0.003800604737107341,0.0023481294708264343,0.0033021323074184437,0.004450158427932954,0.6178304857383321,0.8688439171740109,1.0,462495.7922860095,328878.4030731398,244036.25569448192,462495.79228600947,328878.4030731398,244036.2556944819
united kingdom,2021-11-07,246529.0,1216.0,1004.0,0.004072543189645032,0.0023481294708264343,0.0033021323074184437,0.004450158427932954,0.5765757074834362,0.810828063362113,1.0,427574.37887214875,304045.96379874065,225609.94541184147,427574.37887214875,304045.96379874065,225609.9454118415
united kingdom,2021-11-14,261768.0,1086.0,947.0,0.003617707282784756,0.0023481294708264343,0.0033021323074184437,0.004450158427932954,0.6490656339168892,0.9127693451407721,1.0,403299.73784056265,286784.39015678025,212801.4126543963,403299.7378405626,286784.39015678025,212801.4126543963
united kingdom,2021-11-21,288618.0,1004.0,961.0,0.003329660658725374,0.0018120797558277557,0.0027064289000380977,0.0038982591106513326,0.5442235535561865,0.8128242416973941,1.0,530329.8582247095,355080.4530599242,246520.29860565971,530329.8582247095,355080.4530599242,246520.29860565971
united kingdom,2021-11-28,305089.0,947.0,915.0,0.0029991248455368763,0.0018120797558277557,0.0027064289000380977,0.0038982591106513326,0.6042028422139171,0.9024062149548887,1.0,504944.66209740815,338083.88610804436,234720.15944243356,504944.6620974082,338083.88610804436,234720.15944243356
united kingdom,2021-12-05,321057.0,961.0,862.0,0.0026848815007926943,0.0018120797558277557,0.0027064289000380977,0.0038982591106513326,0.6749198261795728,1.0,1.0,475696.50134203915,318500.8850547915,221124.34692828165,475696.5013420392,318500.8850547915,221124.34692828168
united kingdom,2021-12-12,357791.0,915.0,871.0,0.0024343820833950544,0.0018120797558277557,0.0027064289000380977,0.0038982591106513326,0.7443694924424439,1.0,1.0,480663.1701495547,321826.3003279854,223433.0698080433,480663.1701495546,321826.3003279854,223433.06980804328
united kingdom,2021-12-19,544493.0,862.0,1111.0,0.0020404302718308592,0.0018120797558277557,0.0027064289000380977,0.0038982591106513326,0.8880870769486248,1.0,1.0,613107.6716833011,410504.04094648885,284999.01326835377,613107.6716833011,410504.04094648885,284999.01326835377
united kingdom,2021-12-26,774287.0,871.0,1476.0,0.0019062698973378088,0.0018120797558277557,0.0027064289000380977,0.0038982591106513326,0.9505892939706,1.0,1.0,814533.6844325404,545368.1048037962,378630.5522809092,814533.6844325404,545368.104803796,378630.5522809092
united kingdom,2022-01-02,1110059.0,1111.0,1720.0,0.001549467190482668,0.0012626482226877306,0.0017087294878555099,0.0023322865497635847,0.8148918740863486,1.0,1.0,1362216.3078317486,1006595.8434173422,737473.7037240772,1362216.3078317486,1006595.843417342,737473.7037240771
united kingdom,2022-01-09,1254166.0,1476.0,1591.0,0.00126857210289547,0.0012626482226877306,0.0017087294878555099,0.0023322865497635847,0.9953302770932622,1.0,1.0,1260050.0847443675,931101.1551610414,682163.1759447714,1260050.0847443675,931101.1551610415,682163.1759447714
